.y.,group1,group2,n1,n2,statistic,p,p.adj,p.adj.signif
Code,Alginate,Foam,5,5,2.454287964311585,0.014116388749862416,0.11293110999889933,ns
Code,Alginate,Hydrocolloid,5,5,0.9970544855015817,0.3187380637658785,1,ns
Code,Alginate,Hydrofiber,5,5,3.0678599553894816,0.0021559763036343048,0.02155976303634305,*
Code,Alginate,Hydrogel,5,5,3.0678599553894816,0.0021559763036343048,0.02155976303634305,*
Code,Foam,Hydrocolloid,5,5,-1.4572334788100036,0.1450519420995289,0.7252597104976445,ns
Code,Foam,Hydrofiber,5,5,0.6135719910778964,0.5394981968180632,1,ns
Code,Foam,Hydrogel,5,5,0.6135719910778964,0.5394981968180632,1,ns
Code,Hydrocolloid,Hydrofiber,5,5,2.0708054698879,0.03837697886444893,0.2686388520511425,ns
Code,Hydrocolloid,Hydrogel,5,5,2.0708054698879,0.03837697886444893,0.2686388520511425,ns
Code,Hydrofiber,Hydrogel,5,5,0,1,1,ns
