.y.,group1,group2,n1,n2,statistic,p,p.adj,p.adj.signif
Code,Alginate,Foam,5,5,2.9541957835039856,0.0031348505814530613,0.02507880465162449,*
Code,Alginate,Hydrocolloid,5,5,2.9541957835039856,0.0031348505814530613,0.02507880465162449,*
Code,Alginate,Hydrofiber,5,5,3.3234702564419836,8.890490306585484e-4,0.008890490306585484,**
Code,Alginate,Hydrogel,5,5,0,1,1,ns
Code,Foam,Hydrocolloid,5,5,0,1,1,ns
Code,Foam,Hydrofiber,5,5,0.3692744729379982,0.71192315069219,1,ns
Code,Foam,Hydrogel,5,5,-2.9541957835039856,0.0031348505814530613,0.02507880465162449,*
Code,Hydrocolloid,Hydrofiber,5,5,0.3692744729379982,0.71192315069219,1,ns
Code,Hydrocolloid,Hydrogel,5,5,-2.9541957835039856,0.0031348505814530613,0.02507880465162449,*
Code,Hydrofiber,Hydrogel,5,5,-3.3234702564419836,8.890490306585484e-4,0.008890490306585484,**
