.y.,group1,group2,n1,n2,statistic,p,p.adj,p.adj.signif
Code,Alginate,Foam,5,5,2.581988897471611,0.009823274507519247,0.07858619606015398,ns
Code,Alginate,Hydrocolloid,5,5,1.2909944487358056,0.19670560245894686,0.9835280122947343,ns
Code,Alginate,Hydrofiber,5,5,3.227486121839514,0.0012488309880884251,0.01248830988088425,*
Code,Alginate,Hydrogel,5,5,3.227486121839514,0.0012488309880884251,0.01248830988088425,*
Code,Foam,Hydrocolloid,5,5,-1.2909944487358056,0.19670560245894686,0.9835280122947343,ns
Code,Foam,Hydrofiber,5,5,0.6454972243679028,0.5186050164287257,1,ns
Code,Foam,Hydrogel,5,5,0.6454972243679028,0.5186050164287257,1,ns
Code,Hydrocolloid,Hydrofiber,5,5,1.9364916731037083,0.052807511416113645,0.36965257991279554,ns
Code,Hydrocolloid,Hydrogel,5,5,1.9364916731037083,0.052807511416113645,0.36965257991279554,ns
Code,Hydrofiber,Hydrogel,5,5,0,1,1,ns
