.y.,group1,group2,n1,n2,statistic,p,p.adj,p.adj.signif
Code,Alginate,Foam,5,5,2.2763607319179844,0.022824427925560976,0.13694656755336587,ns
Code,Alginate,Hydrocolloid,5,5,2.7555945702165077,0.005858556557097567,0.0527270090138781,ns
Code,Alginate,Hydrofiber,5,5,2.2763607319179844,0.022824427925560976,0.13694656755336587,ns
Code,Alginate,Hydrogel,5,5,4.6725299234105995,2.975121551240318e-6,2.975121551240318e-5,****
Code,Foam,Hydrocolloid,5,5,0.47923383829852306,0.6317722839808395,1,ns
Code,Foam,Hydrofiber,5,5,0,1,1,ns
Code,Foam,Hydrogel,5,5,2.396169191492615,0.016567440904155344,0.13253952723324275,ns
Code,Hydrocolloid,Hydrofiber,5,5,-0.47923383829852306,0.6317722839808395,1,ns
Code,Hydrocolloid,Hydrogel,5,5,1.9169353531940923,0.055246145031480516,0.22098458012592206,ns
Code,Hydrofiber,Hydrogel,5,5,2.396169191492615,0.016567440904155344,0.13253952723324275,ns
